,Unnamed: 0,Company,TypeName,Inches,Ram,OpSys,Weight,Price_euros,Screen,ScreenW,ScreenH,Touchscreen,IPSpanel,RetinaDisplay,CPU_brand,CPU_base_clock_speed,PrimaryStorage,PrimaryStorageType,SecondaryStorage,SecondaryStorageType,GPU_company,UsageType
875,875,4,4,12.5,8.0,5,1.6,1690.0,1,1920.0,1080.0,0,0,0,1,2.8,256,3,0,2,2,0
876,876,2,3,15.6,4.0,2,2.0,398.99,3,1366.0,768.0,0,0,0,1,1.1,1,4,0,2,2,1
877,877,18,4,13.3,8.0,5,1.28,935.0,1,1920.0,1080.0,0,1,0,1,2.3,256,3,0,2,3,0
878,878,4,3,15.6,4.0,5,2.18,912.5,1,1920.0,1080.0,0,0,0,1,2.5,128,3,1024,0,3,0
879,879,7,3,15.6,4.0,5,2.04,839.0,1,1920.0,1080.0,0,0,0,1,2.5,256,3,0,2,2,2
880,880,7,0,13.3,4.0,5,1.28,1700.0,1,1920.0,1080.0,1,0,0,1,2.5,256,3,0,2,2,2
881,881,7,0,15.6,4.0,5,2.3,684.8,3,1366.0,768.0,1,0,0,1,2.5,500,1,0,2,2,1
882,882,2,3,14.1,4.0,5,1.65,348.0,3,1366.0,768.0,0,0,0,1,1.1,32,0,0,2,2,2
883,883,10,3,15.6,8.0,5,2.2,669.0,1,1920.0,1080.0,0,1,0,1,2.5,1,4,0,2,3,0
884,884,4,3,15.6,4.0,5,2.2,369.0,3,1366.0,768.0,0,0,0,1,1.6,500,1,0,2,2,1
885,885,7,0,13.3,4.0,5,1.28,1799.0,1,1920.0,1080.0,1,0,0,1,2.5,256,3,0,2,2,2
886,886,4,3,15.6,4.0,2,2.18,455.7,3,1366.0,768.0,0,0,0,1,2.0,1,4,0,2,0,0
887,887,2,1,17.3,12.0,5,2.2,1369.9,1,1920.0,1080.0,0,0,0,1,2.5,128,3,1024,0,3,0
888,888,0,2,11.6,4.0,1,1.25,297.0,3,1366.0,768.0,0,1,0,1,1.6,32,0,0,2,2,2
889,889,10,3,17.3,4.0,5,2.8,379.0,3,1600.0,900.0,0,0,0,0,2.2,500,1,0,2,0,0
890,890,7,3,14.0,4.0,5,1.95,1265.0,1,1920.0,1080.0,0,0,0,1,2.5,128,3,0,2,2,2
891,891,7,0,13.3,16.0,5,1.42,1399.0,2,3200.0,1800.0,1,0,0,1,2.7,256,3,0,2,2,0
892,892,15,4,15.0,8.0,5,1.17,1699.0,1,1920.0,1080.0,0,0,0,1,2.7,256,3,0,2,2,0
893,893,10,4,14.0,8.0,5,1.32,1799.0,1,1920.0,1080.0,0,1,0,1,2.5,256,3,0,2,2,0
894,894,11,1,17.3,16.0,5,2.43,2649.0,0,3840.0,2160.0,0,1,0,1,2.6,512,3,2048,0,3,0
895,895,16,3,13.3,8.0,5,1.05,1475.0,1,1920.0,1080.0,0,0,0,1,2.5,256,3,0,2,2,0
896,896,4,1,15.6,8.0,2,2.62,929.0,1,1920.0,1080.0,0,0,0,1,2.8,1,4,0,2,3,0
897,897,7,3,15.6,8.0,5,2.04,900.0,1,1920.0,1080.0,0,0,0,1,2.7,1,4,0,2,3,0
898,898,4,3,15.6,4.0,5,2.18,614.0,3,1366.0,768.0,0,0,0,1,2.0,1,4,0,2,0,0
899,899,4,3,15.6,8.0,5,1.9,935.0,1,1920.0,1080.0,0,0,0,1,2.6,500,1,0,2,2,0
900,900,4,0,13.3,8.0,5,1.24,2013.1,2,3200.0,1800.0,1,0,0,1,1.3,512,3,0,2,2,0
901,901,2,1,17.3,16.0,5,3.58,1279.0,1,1920.0,1080.0,0,1,0,1,2.7,256,3,256,3,3,0
902,902,4,0,13.3,16.0,5,1.22,1649.0,1,1920.0,1080.0,1,0,0,1,1.3,256,3,0,2,2,0
903,903,10,4,14.0,8.0,5,1.13,2049.0,1,1920.0,1080.0,0,1,0,1,2.7,256,0,0,2,2,0
904,904,10,3,15.6,8.0,5,1.95,1962.99,1,1920.0,1080.0,0,1,0,1,2.5,512,3,0,2,2,0
905,905,9,4,15.6,16.0,5,1.08,2099.0,1,1920.0,1080.0,1,1,0,1,2.7,512,3,0,2,2,0
906,906,7,2,12.5,8.0,5,1.26,1483.0,1,1920.0,1080.0,0,0,0,1,2.7,512,3,0,2,2,0
907,907,0,3,15.6,4.0,1,2.2,359.0,1,1920.0,1080.0,0,1,0,1,1.5,16,0,0,2,2,1
908,908,10,3,15.6,8.0,5,2.6,789.0,1,1920.0,1080.0,0,1,0,1,2.3,128,3,1024,0,3,0
909,909,9,4,14.0,8.0,5,0.98,1899.0,1,1920.0,1080.0,1,1,0,1,2.7,512,3,0,2,2,0
910,910,4,3,14.0,8.0,5,1.6,1205.0,1,1920.0,1080.0,0,0,0,1,2.8,256,3,0,2,2,0
911,911,7,4,12.5,8.0,5,1.09,2711.2200000000007,0,3840.0,2160.0,1,0,0,1,1.2,240,3,0,2,2,2
912,912,10,3,15.6,6.0,5,2.2,789.0,1,1920.0,1080.0,0,0,0,1,2.7,256,3,0,2,3,0
913,913,7,3,15.6,8.0,5,2.04,1018.99,1,1920.0,1080.0,0,0,0,1,2.7,256,3,0,2,3,0
914,914,0,3,15.6,4.0,5,2.4,499.0,1,1920.0,1080.0,0,0,0,1,2.4,1,4,0,2,2,1
915,915,10,3,13.3,4.0,5,1.44,881.0,1,1920.0,1080.0,0,0,0,1,2.5,128,3,0,2,2,2
916,916,7,3,13.3,8.0,5,1.49,960.0,1,1920.0,1080.0,0,0,0,1,2.5,256,3,0,2,2,0
917,917,11,1,17.3,16.0,5,2.7,1599.0,1,1920.0,1080.0,0,0,0,1,2.8,256,3,1024,0,3,0
918,918,4,1,15.6,16.0,5,2.6,1349.0,1,1920.0,1080.0,0,0,0,1,2.8,128,3,1024,0,3,0
919,919,11,1,15.6,8.0,5,2.2,1119.91,1,1920.0,1080.0,0,0,0,1,2.5,128,3,1024,0,3,0
920,920,4,3,15.6,4.0,5,2.18,684.99,3,1366.0,768.0,0,0,0,1,2.5,1,4,0,2,0,0
921,921,7,4,15.6,8.0,5,1.84,1296.99,1,1920.0,1080.0,0,0,0,1,2.5,256,3,0,2,0,0
922,922,7,4,13.3,8.0,5,1.39,1149.0,2,3200.0,1800.0,1,0,0,1,2.7,256,3,0,2,2,0
923,923,16,3,15.6,16.0,5,2.4,1975.0,1,1920.0,1080.0,0,1,0,1,2.6,256,3,0,2,3,0
924,924,10,0,13.3,8.0,5,1.37,1825.0,1,1920.0,1080.0,1,1,0,1,2.5,512,3,0,2,2,0
925,925,4,3,15.6,4.0,5,1.95,729.9,3,1366.0,768.0,0,0,0,1,2.3,500,1,0,2,2,1
926,926,10,4,12.5,8.0,5,1.36,1650.0,1,1920.0,1080.0,0,1,0,1,2.7,256,3,0,2,2,0
927,927,7,3,15.6,8.0,5,2.31,1165.0,1,1920.0,1080.0,0,0,0,1,2.3,256,3,0,2,2,2
928,928,4,3,15.6,4.0,5,2.18,708.06,3,1366.0,768.0,0,0,0,1,2.5,1,4,0,2,2,1
929,929,7,3,14.0,4.0,5,1.95,1149.0,3,1366.0,768.0,0,0,0,1,2.3,500,1,0,2,2,2
930,930,10,3,15.6,4.0,5,2.2,309.0,3,1366.0,768.0,0,0,0,1,1.1,1,4,0,2,2,1
931,931,7,4,12.5,4.0,5,1.26,1579.0,1,1920.0,1080.0,0,0,0,1,2.3,500,1,0,2,2,2
932,932,7,3,15.6,4.0,4,1.86,288.9,3,1366.0,768.0,0,0,0,1,1.6,1,4,0,2,2,1
933,933,10,0,13.3,16.0,5,1.3,1799.0,2,3200.0,1800.0,1,1,0,1,2.2,1,6,0,2,2,0
934,934,16,3,14.0,4.0,5,1.47,1105.0,1,1920.0,1080.0,0,1,0,1,2.3,128,3,0,2,2,2
935,935,7,2,12.5,8.0,5,1.26,1669.0,1,1920.0,1080.0,0,0,0,1,2.3,256,3,0,2,2,2
936,936,4,3,15.6,4.0,5,2.18,558.6,3,1366.0,768.0,0,0,0,1,2.0,1,4,0,2,2,1
937,937,11,1,15.6,8.0,5,2.2,1199.0,1,1920.0,1080.0,0,0,0,1,2.8,128,3,1024,0,3,0
938,938,4,4,14.0,8.0,5,1.36,1639.0,1,1920.0,1080.0,0,0,0,1,2.5,256,3,0,2,2,0
939,939,4,1,17.3,16.0,5,3.78,2711.2200000000007,3,2560.0,1440.0,0,0,0,1,2.7,512,3,1024,0,3,0
940,940,7,1,17.3,8.0,5,2.75,1399.0,1,1920.0,1080.0,0,1,0,1,2.3,128,3,1024,0,3,0
941,941,2,3,17.3,4.0,5,2.8,530.0,3,1600.0,900.0,0,0,0,1,1.6,1,4,0,2,3,0
942,942,0,3,15.6,4.0,5,2.23,619.0,3,1366.0,768.0,0,0,0,1,2.5,500,1,0,2,2,1
943,943,16,3,15.6,8.0,5,2.2,1119.0,3,1366.0,768.0,0,0,0,1,2.3,256,3,0,2,2,2
944,944,10,0,11.6,8.0,5,1.1,1299.0,1,1920.0,1080.0,1,1,0,1,1.2,256,3,0,2,2,2
945,945,10,1,15.6,16.0,5,2.5,999.0,1,1920.0,1080.0,0,1,0,0,2.1,512,3,1024,0,0,0
946,946,4,4,12.5,8.0,5,1.36,1472.2,1,1920.0,1080.0,1,0,0,1,2.5,256,3,0,2,2,0
947,947,10,3,15.6,8.0,4,2.2,685.0,1,1920.0,1080.0,0,0,0,1,2.7,1,4,0,2,3,0
948,948,4,3,17.3,4.0,5,2.36,659.0,3,1600.0,900.0,0,0,0,1,2.0,1,4,0,2,0,0
949,949,0,3,14.0,4.0,1,1.68,349.0,3,1366.0,768.0,0,0,0,1,1.6,32,0,0,2,2,2
950,950,7,5,15.6,8.0,5,2.0,2249.0,1,1920.0,1080.0,0,1,0,1,2.7,8,3,0,2,3,0
951,951,4,4,14.0,8.0,5,1.36,1775.0,1,1920.0,1080.0,0,0,0,1,2.8,256,3,0,2,2,0
952,952,16,3,13.3,8.0,7,1.2,1460.0,1,1920.0,1080.0,0,0,0,1,2.3,256,3,0,2,2,2
953,953,2,0,12.5,8.0,1,1.2,1159.0,1,1920.0,1080.0,0,0,0,1,1.2,64,0,0,2,2,2
954,954,10,4,14.0,8.0,5,1.7,1488.99,1,1920.0,1080.0,0,1,0,1,2.6,256,3,0,2,2,0
955,955,4,1,17.3,16.0,5,3.78,2711.2200000000007,0,3840.0,2160.0,0,1,0,1,2.8,512,3,1024,0,3,0
956,956,4,0,13.3,8.0,5,1.24,1899.0,1,1920.0,1080.0,1,0,0,1,1.2,256,3,0,2,2,2
957,957,7,0,11.6,4.0,5,1.45,775.0,3,1366.0,768.0,1,0,0,1,1.1,256,3,0,2,2,2
958,958,4,4,13.3,8.0,5,1.3,1268.0,2,3200.0,1800.0,0,0,0,1,2.5,256,3,0,2,2,0
959,959,0,0,11.6,4.0,1,1.25,389.0,3,1366.0,768.0,1,1,0,1,1.6,32,0,0,2,2,2
960,960,16,3,13.3,8.0,5,1.2,1535.0,1,1920.0,1080.0,0,0,0,1,2.4,256,3,0,2,2,2
961,961,10,4,12.5,8.0,5,1.36,1760.0,1,1920.0,1080.0,0,1,0,1,2.6,256,3,0,2,2,0
962,962,0,3,15.6,12.0,5,2.4,1009.0,1,1920.0,1080.0,0,0,0,1,2.5,128,3,1024,0,3,0
963,963,16,4,12.5,8.0,5,1.1,1790.0,1,1920.0,1080.0,1,0,0,1,2.7,512,3,0,2,2,0
964,964,7,3,15.6,8.0,5,2.04,846.5,3,1366.0,768.0,0,0,0,1,2.5,1,4,0,2,3,0
